return_id,order_id,return_date,return_reason,refund_amount
RET-00078,ORD-02926,2024-10-21,Late Delivery,10.95
RET-00079,ORD-06752,2025-07-02,Wrong Size,50.95
RET-00080,ORD-02732,2024-10-01,Late Delivery,150.99
RET-00081,ORD-08368,2025-11-10,Wrong Size,47.99
RET-00082,ORD-09459,2025-12-21,Wrong Size,252.0
RET-00083,ORD-08648,2025-11-30,Changed Mind,20.29
RET-00084,ORD-07725,2025-09-28,Damaged Item,15.0
RET-00085,ORD-03291,2024-11-08,Wrong Size,57.98
RET-00086,ORD-03144,2024-10-30,Changed Mind,46.77
RET-00087,ORD-04569,2024-12-26,Changed Mind,49.0
RET-00088,ORD-00722,2024-04-11,Wrong Size,24.64
RET-00089,ORD-04265,2024-12-16,Product Not as Described,54.0
RET-00090,ORD-09381,2025-12-24,Changed Mind,86.0
RET-00091,ORD-07660,2025-09-17,Late Delivery,18.95
RET-00092,ORD-08805,2025-11-29,Late Delivery,77.59
RET-00093,ORD-04004,2024-12-04,Damaged Item,82.0
RET-00094,ORD-01809,2024-07-16,Defective Item,26.24
RET-00095,ORD-06949,2025-07-19,Damaged Item,195.5
RET-00096,ORD-05695,2025-04-02,Changed Mind,133.16
RET-00097,ORD-00438,2024-03-13,Wrong Size,95.98
RET-00098,ORD-04676,2024-12-29,Wrong Size,35.66
RET-00099,ORD-03038,2024-10-29,Changed Mind,125.93
RET-00100,ORD-09221,2025-12-17,Wrong Size,116.0
RET-00101,ORD-04522,2024-12-16,Changed Mind,16.0
RET-00102,ORD-06085,2025-05-07,Product Not as Described,276.0
RET-00103,ORD-09827,2026-01-01,Wrong Size,60.99
RET-00104,ORD-00388,2024-03-05,Damaged Item,8.0
RET-00105,ORD-06844,2025-07-15,Product Not as Described,25.13
RET-00106,ORD-02917,2024-10-19,Product Not as Described,97.85
RET-00107,ORD-07937,2025-10-25,Changed Mind,28.99
RET-00108,ORD-03599,2024-11-25,Changed Mind,70.99
RET-00109,ORD-02946,2024-10-15,Late Delivery,20.97
RET-00110,ORD-05990,2025-04-27,Wrong Size,39.0
RET-00111,ORD-08213,2025-11-13,Wrong Size,35.66
RET-00112,ORD-01212,2024-05-25,Changed Mind,103.96
RET-00113,ORD-00519,2024-03-17,Wrong Size,7.98
RET-00114,ORD-08833,2025-11-30,Changed Mind,11.9
RET-00115,ORD-01743,2024-07-06,Product Not as Described,131.98
RET-00116,ORD-02006,2024-07-26,Wrong Size,88.1
RET-00117,ORD-04623,2024-12-24,Defective Item,89.95
RET-00118,ORD-07351,2025-08-17,Product Not as Described,332.97
RET-00119,ORD-08004,2025-10-18,Late Delivery,25.0
RET-00120,ORD-01315,2024-06-03,Changed Mind,49.0
RET-00121,ORD-09202,2025-12-09,Defective Item,21.0
RET-00122,ORD-09030,2025-12-08,Late Delivery,97.0
RET-00123,ORD-06974,2025-07-27,Late Delivery,86.0
RET-00124,ORD-03128,2024-10-31,Wrong Size,23.75
RET-00125,ORD-05972,2025-05-01,Product Not as Described,96.99
RET-00126,ORD-04707,2024-12-27,Changed Mind,140.3
RET-00127,ORD-07126,2025-08-08,Wrong Size,50.95
RET-00128,ORD-09537,2025-12-25,Product Not as Described,42.0
RET-00129,ORD-02476,2024-09-14,Wrong Size,70.99
RET-00130,ORD-07057,2025-08-01,Wrong Size,58.0
RET-00131,ORD-08071,2025-10-23,Damaged Item,19.54
RET-00132,ORD-08960,2025-12-01,Product Not as Described,106.95
RET-00133,ORD-09004,2025-12-04,Wrong Size,17.39
RET-00134,ORD-06003,2025-04-25,Product Not as Described,49.0
RET-00135,ORD-04759,2024-12-25,Wrong Size,25.8
RET-00136,ORD-02585,2024-09-17,Wrong Size,132.47
RET-00137,ORD-06719,2025-07-05,Changed Mind,9.99
RET-00138,ORD-04290,2024-12-09,Product Not as Described,27.99
RET-00139,ORD-08801,2025-11-26,Defective Item,24.95
RET-00140,ORD-05492,2025-03-08,Changed Mind,164.78
RET-00141,ORD-04250,2024-12-10,Changed Mind,97.0
RET-00142,ORD-01687,2024-07-07,Defective Item,17.0
RET-00143,ORD-05820,2025-04-12,Defective Item,17.0
RET-00144,ORD-01397,2024-06-10,Wrong Size,19.0
RET-00145,ORD-01383,2024-06-02,Defective Item,106.95
RET-00146,ORD-03425,2024-11-25,Changed Mind,38.95
RET-00147,ORD-04042,2024-12-07,Changed Mind,59.85
RET-00148,ORD-05307,2025-01-30,Wrong Size,21.69
RET-00149,ORD-04287,2024-12-20,Defective Item,67.0
RET-00150,ORD-00072,2024-01-16,Wrong Size,70.99
RET-00151,ORD-04654,2024-12-29,Late Delivery,141.29
RET-00152,ORD-05517,2025-03-12,Defective Item,19.56
RET-00153,ORD-02802,2024-10-12,Defective Item,141.98
RET-00154,ORD-06200,2025-05-15,Defective Item,83.99
RET-00155,ORD-08638,2025-12-02,Product Not as Described,132.0
RET-00156,ORD-08165,2025-11-06,Wrong Size,38.99
RET-00157,ORD-03118,2024-10-29,Defective Item,193.98
RET-00158,ORD-06901,2025-07-16,Defective Item,252.2
RET-00159,ORD-09163,2025-12-10,Wrong Size,6.49
RET-00160,ORD-08618,2025-11-25,Defective Item,14.7
RET-00161,ORD-09314,2025-12-25,Defective Item,67.19
RET-00162,ORD-05552,2025-03-14,Late Delivery,53.0
RET-00163,ORD-05749,2025-04-07,Wrong Size,38.99
RET-00164,ORD-00684,2024-04-03,Wrong Size,43.5
RET-00165,ORD-08442,2025-11-25,Late Delivery,17.95
RET-00166,ORD-04394,2024-12-23,Damaged Item,100.0
RET-00167,ORD-00753,2024-04-10,Late Delivery,49.0
RET-00168,ORD-00572,2024-03-23,Late Delivery,29.99
RET-00169,ORD-04502,2024-12-26,Defective Item,308.97
RET-00170,ORD-09402,2025-12-15,Wrong Size,25.0
RET-00171,ORD-09986,2026-01-12,Changed Mind,125.38
RET-00172,ORD-00164,2024-01-27,Product Not as Described,59.85
RET-00173,ORD-07861,2025-10-10,Wrong Size,70.99
RET-00174,ORD-06656,2025-07-01,Defective Item,55.98
RET-00175,ORD-03482,2024-11-22,Wrong Size,25.0
RET-00176,ORD-00705,2024-04-10,Wrong Size,6.99
RET-00177,ORD-08163,2025-10-31,Product Not as Described,103.98
RET-00178,ORD-04552,2024-12-21,Wrong Size,29.21
RET-00179,ORD-01933,2024-07-19,Defective Item,32.0
RET-00180,ORD-04814,2024-12-26,Wrong Size,152.85
RET-00181,ORD-09595,2025-12-29,Wrong Size,19.79
RET-00182,ORD-07467,2025-09-05,Damaged Item,20.14
RET-00183,ORD-03130,2024-11-03,Late Delivery,16.0
RET-00184,ORD-06506,2025-06-11,Wrong Size,28.99
RET-00185,ORD-00914,2024-05-02,Late Delivery,328.0
RET-00186,ORD-08535,2025-11-18,Product Not as Described,57.4
RET-00187,ORD-07234,2025-08-12,Defective Item,80.0
RET-00188,ORD-04962,2025-01-02,Wrong Size,79.75
RET-00189,ORD-00672,2024-03-31,Damaged Item,7.95
RET-00190,ORD-06459,2025-06-06,Wrong Size,38.21
RET-00191,ORD-04783,2024-12-23,Wrong Size,69.58
RET-00192,ORD-02817,2024-10-07,Product Not as Described,32.44
RET-00193,ORD-01607,2024-06-23,Late Delivery,73.59
RET-00194,ORD-07453,2025-09-09,Changed Mind,370.76
RET-00195,ORD-01987,2024-08-02,Product Not as Described,25.0
RET-00196,ORD-03052,2024-10-21,Damaged Item,28.99
RET-00197,ORD-07279,2025-08-20,Wrong Size,63.89
RET-00198,ORD-03835,2024-12-06,Wrong Size,22.77
RET-00199,ORD-02423,2024-09-04,Wrong Size,58.95
RET-00200,ORD-03247,2024-11-12,Changed Mind,18.95
RET-00201,ORD-09333,2025-12-15,Damaged Item,249.0
RET-00202,ORD-07429,2025-08-31,Product Not as Described,123.0
RET-00203,ORD-04082,2024-12-13,Defective Item,87.2
RET-00204,ORD-09694,2025-12-24,Wrong Size,207.98
RET-00205,ORD-04021,2024-12-05,Wrong Size,101.9
RET-00206,ORD-01697,2024-07-02,Defective Item,124.0
RET-00207,ORD-04711,2024-12-23,Wrong Size,87.1
RET-00208,ORD-04535,2024-12-23,Damaged Item,32.99
RET-00209,ORD-00510,2024-03-24,Wrong Size,114.95
RET-00210,ORD-05576,2025-03-14,Wrong Size,50.95
RET-00211,ORD-02845,2024-10-07,Changed Mind,77.97
RET-00212,ORD-03195,2024-11-13,Damaged Item,140.0
RET-00213,ORD-07229,2025-08-07,Changed Mind,4.9
RET-00214,ORD-09155,2025-12-09,Damaged Item,83.95
RET-00215,ORD-09613,2025-12-19,Product Not as Described,23.24
RET-00216,ORD-05297,2025-01-29,Wrong Size,231.96
RET-00217,ORD-09671,2026-01-02,Wrong Size,115.96
RET-00218,ORD-08904,2025-12-02,Late Delivery,38.4
RET-00219,ORD-01092,2024-05-17,Defective Item,127.98
RET-00220,ORD-05130,2025-01-19,Product Not as Described,11.19
RET-00221,ORD-03754,2024-12-04,Wrong Size,28.99
RET-00222,ORD-05415,2025-02-22,Changed Mind,28.99
RET-00223,ORD-06257,2025-05-21,Product Not as Described,5.0
RET-00224,ORD-02360,2024-08-31,Wrong Size,101.9
RET-00225,ORD-00246,2024-02-11,Wrong Size,88.95
RET-00226,ORD-05759,2025-03-30,Product Not as Described,87.98
RET-00227,ORD-03074,2024-10-28,Wrong Size,47.99
RET-00228,ORD-07636,2025-09-23,Product Not as Described,152.92
RET-00229,ORD-05707,2025-03-26,Product Not as Described,28.0
RET-00230,ORD-06150,2025-05-14,Damaged Item,6.78
RET-00231,ORD-05254,2025-02-02,Wrong Size,32.99
RET-00232,ORD-06366,2025-05-31,Damaged Item,91.43
RET-00233,ORD-03518,2024-11-26,Damaged Item,74.7
RET-00234,ORD-06316,2025-05-24,Defective Item,34.15
RET-00235,ORD-07275,2025-08-13,Wrong Size,60.34
RET-00236,ORD-05721,2025-03-27,Changed Mind,56.79
RET-00237,ORD-04460,2024-12-17,Wrong Size,35.95
RET-00238,ORD-03386,2024-11-15,Late Delivery,239.26
RET-00239,ORD-05038,2025-01-12,Wrong Size,31.19
RET-00240,ORD-01585,2024-06-25,Wrong Size,25.0
RET-00241,ORD-04334,2024-12-23,Late Delivery,3.99
RET-00242,ORD-02864,2024-10-17,Damaged Item,111.0
RET-00243,ORD-00613,2024-03-27,Damaged Item,50.0
RET-00244,ORD-01559,2024-06-28,Product Not as Described,41.95
RET-00245,ORD-07457,2025-08-30,Defective Item,98.7
RET-00246,ORD-09065,2025-12-13,Wrong Size,97.58
RET-00247,ORD-00703,2024-04-10,Damaged Item,109.0
RET-00248,ORD-06598,2025-06-17,Wrong Size,55.25
RET-00249,ORD-09564,2025-12-26,Wrong Size,152.85
RET-00250,ORD-08374,2025-11-16,Damaged Item,33.14
RET-00251,ORD-05018,2025-01-02,Product Not as Described,19.0
RET-00252,ORD-01303,2024-05-26,Damaged Item,70.99
RET-00253,ORD-05239,2025-02-03,Wrong Size,65.0
RET-00254,ORD-08497,2025-11-21,Changed Mind,106.95
RET-00255,ORD-09614,2025-12-28,Defective Item,64.71
RET-00256,ORD-00201,2024-02-10,Late Delivery,213.0
RET-00257,ORD-09469,2025-12-22,Damaged Item,32.99
RET-00258,ORD-07216,2025-08-05,Wrong Size,63.0
RET-00259,ORD-04319,2024-12-11,Damaged Item,45.86
RET-00260,ORD-08419,2025-11-24,Damaged Item,71.8
RET-00261,ORD-06179,2025-05-21,Late Delivery,58.95
RET-00262,ORD-07945,2025-10-22,Changed Mind,70.99
RET-00263,ORD-01073,2024-05-11,Late Delivery,11.37
RET-00264,ORD-01761,2024-07-08,Product Not as Described,34.0
RET-00265,ORD-06406,2025-06-08,Product Not as Described,6.99
RET-00266,ORD-06877,2025-07-10,Wrong Size,59.85
RET-00267,ORD-02963,2024-10-20,Damaged Item,32.19
RET-00268,ORD-08594,2025-11-22,Wrong Size,24.79
RET-00269,ORD-09738,2025-12-22,Wrong Size,117.0
RET-00270,ORD-04911,2024-12-30,Changed Mind,361.9
RET-00271,ORD-03358,2024-11-17,Defective Item,38.99
RET-00272,ORD-08183,2025-11-01,Wrong Size,35.95
RET-00273,ORD-04752,2025-01-01,Changed Mind,54.99
RET-00274,ORD-03448,2024-11-17,Defective Item,45.99
RET-00275,ORD-05655,2025-03-17,Defective Item,55.78
RET-00276,ORD-04167,2024-12-13,Changed Mind,77.24
RET-00277,ORD-04062,2024-12-07,Defective Item,36.95
RET-00278,ORD-04835,2025-01-01,Wrong Size,27.3
RET-00279,ORD-00732,2024-04-11,Wrong Size,31.2
RET-00280,ORD-01370,2024-06-09,Defective Item,51.0
RET-00281,ORD-00885,2024-04-17,Late Delivery,17.24
RET-00282,ORD-00859,2024-04-25,Late Delivery,83.85
RET-00283,ORD-03269,2024-11-09,Wrong Size,59.98
RET-00284,ORD-07615,2025-09-17,Wrong Size,28.99
RET-00285,ORD-08242,2025-11-11,Damaged Item,83.95
RET-00286,ORD-09031,2025-12-03,Product Not as Described,101.9
RET-00287,ORD-03081,2024-11-01,Wrong Size,17.95
RET-00288,ORD-05195,2025-01-23,Defective Item,77.34
RET-00289,ORD-08684,2025-11-26,Late Delivery,16.0
RET-00290,ORD-08035,2025-10-26,Changed Mind,45.86
RET-00291,ORD-05669,2025-03-20,Wrong Size,115.88
RET-00292,ORD-08957,2025-12-10,Damaged Item,121.95
RET-00293,ORD-07324,2025-08-18,Defective Item,19.0
RET-00294,ORD-02249,2024-08-15,Late Delivery,17.0
RET-00295,ORD-02770,2024-10-02,Defective Item,30.1
RET-00296,ORD-00775,2024-04-13,Wrong Size,28.99
RET-00297,ORD-00777,2024-04-18,Damaged Item,201.0
RET-00298,ORD-03065,2024-10-26,Wrong Size,117.9
RET-00299,ORD-03997,2024-12-01,Wrong Size,25.99
RET-00300,ORD-09898,2026-01-02,Changed Mind,124.45
RET-00301,ORD-08285,2025-11-08,Damaged Item,57.98
RET-00302,ORD-02192,2024-08-15,Late Delivery,25.99
RET-00303,ORD-02272,2024-08-24,Defective Item,134.0
RET-00304,ORD-00395,2024-02-28,Late Delivery,13.98
RET-00305,ORD-00863,2024-04-27,Defective Item,49.0
RET-00306,ORD-07873,2025-10-13,Wrong Size,39.0
RET-00307,ORD-04677,2024-12-19,Product Not as Described,102.0
RET-00308,ORD-01703,2024-07-09,Wrong Size,18.84
RET-00309,ORD-03362,2024-11-21,Wrong Size,40.0
RET-00310,ORD-02730,2024-10-03,Defective Item,9.99
RET-00311,ORD-09035,2025-12-12,Wrong Size,325.98
RET-00312,ORD-02232,2024-08-16,Wrong Size,23.75
RET-00313,ORD-04191,2024-12-11,Defective Item,200.0
RET-00314,ORD-03100,2024-10-25,Wrong Size,33.12
RET-00315,ORD-08545,2025-11-20,Changed Mind,82.0
RET-00316,ORD-09670,2025-12-31,Late Delivery,51.99
RET-00317,ORD-07588,2025-09-16,Product Not as Described,28.99
RET-00318,ORD-08168,2025-10-31,Late Delivery,22.0
RET-00319,ORD-00578,2024-03-23,Changed Mind,5.99
RET-00320,ORD-06977,2025-07-24,Late Delivery,33.26
RET-00321,ORD-02343,2024-08-25,Defective Item,37.5
RET-00322,ORD-01010,2024-05-07,Defective Item,36.95
RET-00323,ORD-03177,2024-11-04,Changed Mind,44.21
RET-00324,ORD-04695,2024-12-27,Wrong Size,121.98
RET-00325,ORD-01066,2024-05-07,Damaged Item,222.0
RET-00326,ORD-07644,2025-09-19,Damaged Item,38.99
RET-00327,ORD-08906,2025-11-29,Product Not as Described,248.0
RET-00328,ORD-02906,2024-10-13,Wrong Size,49.0
RET-00329,ORD-03553,2024-11-29,Late Delivery,102.0
RET-00330,ORD-09400,2025-12-16,Damaged Item,67.0
RET-00331,ORD-06431,2025-06-05,Damaged Item,35.95
RET-00332,ORD-04140,2024-12-09,Damaged Item,31.16
RET-00333,ORD-03072,2024-10-27,Changed Mind,195.7
RET-00334,ORD-00650,2024-03-31,Defective Item,62.99
RET-00335,ORD-08931,2025-12-08,Wrong Size,5.95
RET-00336,ORD-05094,2025-01-10,Wrong Size,34.0
RET-00337,ORD-05495,2025-03-11,Product Not as Described,141.98
RET-00338,ORD-06724,2025-07-03,Wrong Size,60.34
RET-00339,ORD-05834,2025-04-19,Wrong Size,30.57
RET-00340,ORD-04376,2024-12-18,Defective Item,30.99
RET-00341,ORD-05438,2025-02-28,Wrong Size,15.0
RET-00342,ORD-01587,2024-06-20,Product Not as Described,17.0
RET-00343,ORD-03312,2024-11-19,Damaged Item,126.9
RET-00344,ORD-03163,2024-11-02,Product Not as Described,79.0
RET-00345,ORD-08814,2025-12-07,Wrong Size,45.59
RET-00346,ORD-06209,2025-05-15,Product Not as Described,14.96
RET-00347,ORD-05432,2025-03-02,Late Delivery,22.39
RET-00348,ORD-07553,2025-09-09,Defective Item,37.8
RET-00349,ORD-04973,2025-01-04,Wrong Size,35.95
RET-00350,ORD-04712,2024-12-21,Late Delivery,49.49
RET-00351,ORD-00563,2024-03-20,Damaged Item,30.0
RET-00352,ORD-01268,2024-05-31,Late Delivery,3.19
RET-00353,ORD-08376,2025-11-17,Wrong Size,28.79
RET-00354,ORD-01859,2024-07-20,Late Delivery,50.95
RET-00355,ORD-03842,2024-12-05,Wrong Size,33.11
RET-00356,ORD-00041,2024-01-13,Product Not as Described,32.0
RET-00357,ORD-03461,2024-11-18,Wrong Size,46.38
RET-00358,ORD-03809,2024-12-08,Product Not as Described,109.0
RET-00359,ORD-07552,2025-09-07,Late Delivery,34.79
RET-00360,ORD-03564,2024-11-27,Defective Item,178.99
RET-00361,ORD-06846,2025-07-05,Defective Item,65.0
RET-00362,ORD-07799,2025-10-05,Wrong Size,6.65
RET-00363,ORD-06263,2025-05-28,Late Delivery,139.18
RET-00364,ORD-01306,2024-06-01,Late Delivery,16.8
RET-00365,ORD-03979,2024-11-29,Changed Mind,117.98
RET-00366,ORD-03686,2024-11-26,Wrong Size,65.98
RET-00367,ORD-04296,2024-12-13,Defective Item,211.9
RET-00368,ORD-09406,2025-12-18,Damaged Item,75.59
RET-00369,ORD-09072,2025-12-08,Wrong Size,30.99
RET-00370,ORD-06119,2025-05-07,Defective Item,15.3
RET-00371,ORD-04836,2025-01-01,Damaged Item,141.0
RET-00372,ORD-00401,2024-03-09,Changed Mind,113.6
RET-00373,ORD-08816,2025-11-30,Wrong Size,52.2
RET-00374,ORD-04451,2024-12-24,Product Not as Described,34.99
RET-00375,ORD-02773,2024-10-05,Product Not as Described,95.99
RET-00376,ORD-08641,2025-12-04,Damaged Item,51.99
RET-00377,ORD-02269,2024-08-14,Defective Item,65.99
RET-00378,ORD-03870,2024-12-09,Late Delivery,27.99
RET-00379,ORD-08494,2025-11-16,Product Not as Described,83.99
RET-00380,ORD-03197,2024-11-05,Wrong Size,189.0
RET-00381,ORD-02157,2024-08-04,Late Delivery,20.95
RET-00382,ORD-08578,2025-12-03,Wrong Size,27.99
RET-00383,ORD-01711,2024-07-06,Changed Mind,149.44
RET-00384,ORD-08203,2025-11-01,Defective Item,13.65
RET-00385,ORD-00524,2024-03-24,Damaged Item,114.95
RET-00386,ORD-07031,2025-07-31,Defective Item,101.9
RET-00387,ORD-07969,2025-10-22,Defective Item,62.07
RET-00388,ORD-01693,2024-07-02,Damaged Item,243.9
RET-00389,ORD-05612,2025-03-20,Defective Item,24.74
RET-00390,ORD-07113,2025-08-05,Wrong Size,25.34
RET-00391,ORD-04822,2024-12-30,Product Not as Described,78.6
RET-00392,ORD-03017,2024-10-29,Wrong Size,83.9
RET-00393,ORD-01671,2024-06-28,Damaged Item,117.98
RET-00394,ORD-06930,2025-07-16,Changed Mind,35.09
RET-00395,ORD-03138,2024-11-08,Changed Mind,23.4
RET-00396,ORD-01380,2024-06-04,Wrong Size,17.85
RET-00397,ORD-08962,2025-12-10,Wrong Size,71.9
RET-00398,ORD-04625,2024-12-23,Late Delivery,124.0
RET-00399,ORD-07662,2025-09-23,Damaged Item,290.97
RET-00400,ORD-06555,2025-06-19,Wrong Size,41.65
RET-00401,ORD-06825,2025-07-16,Changed Mind,63.89
RET-00402,ORD-01815,2024-07-15,Product Not as Described,22.5
RET-00403,ORD-08373,2025-11-13,Defective Item,19.0
RET-00404,ORD-04326,2024-12-18,Product Not as Described,77.99
RET-00405,ORD-02243,2024-08-15,Late Delivery,97.84
RET-00406,ORD-03011,2024-10-21,Wrong Size,67.0
RET-00407,ORD-02099,2024-08-10,Damaged Item,80.96
RET-00408,ORD-08112,2025-11-02,Wrong Size,8.99
RET-00409,ORD-01223,2024-05-25,Defective Item,7.95
RET-00410,ORD-00379,2024-03-01,Wrong Size,58.95
RET-00411,ORD-05795,2025-04-05,Product Not as Described,38.21
RET-00412,ORD-09796,2025-12-26,Late Delivery,39.0
RET-00413,ORD-04910,2025-01-06,Wrong Size,30.99
RET-00414,ORD-00259,2024-02-16,Late Delivery,113.97
RET-00415,ORD-03427,2024-11-21,Changed Mind,38.4
RET-00416,ORD-08564,2025-11-22,Late Delivery,73.14
RET-00417,ORD-02771,2024-10-07,Defective Item,52.4
RET-00418,ORD-03726,2024-11-24,Product Not as Described,37.99
RET-00419,ORD-07575,2025-09-10,Product Not as Described,13.0
RET-00420,ORD-01783,2024-07-07,Changed Mind,30.99
RET-00421,ORD-04998,2024-12-30,Changed Mind,126.0
RET-00422,ORD-09176,2025-12-09,Wrong Size,51.84
RET-00423,ORD-09335,2025-12-17,Wrong Size,5.95
RET-00424,ORD-00599,2024-03-25,Wrong Size,21.0
RET-00425,ORD-08695,2025-12-06,Defective Item,19.95
RET-00426,ORD-04379,2024-12-17,Wrong Size,5.95
RET-00427,ORD-07311,2025-08-23,Damaged Item,191.98
RET-00428,ORD-04029,2024-12-11,Wrong Size,22.0
RET-00429,ORD-07044,2025-07-31,Damaged Item,70.99
RET-00430,ORD-02052,2024-08-01,Product Not as Described,57.98
RET-00431,ORD-01960,2024-07-24,Defective Item,118.5
RET-00432,ORD-04742,2024-12-30,Product Not as Described,487.8
RET-00433,ORD-00945,2024-05-01,Defective Item,19.95
RET-00434,ORD-04652,2024-12-20,Late Delivery,9.09
RET-00435,ORD-09785,2026-01-04,Product Not as Described,115.0
RET-00436,ORD-07228,2025-08-12,Damaged Item,83.95
RET-00437,ORD-08699,2025-12-01,Wrong Size,63.65
RET-00438,ORD-07878,2025-10-17,Product Not as Described,91.99
RET-00439,ORD-07507,2025-09-14,Late Delivery,106.95
RET-00440,ORD-04450,2024-12-19,Late Delivery,155.98
RET-00441,ORD-03682,2024-12-04,Changed Mind,101.9
RET-00442,ORD-06330,2025-05-29,Wrong Size,50.95
RET-00443,ORD-05071,2025-01-09,Product Not as Described,110.99
RET-00444,ORD-01904,2024-07-15,Wrong Size,21.0
RET-00445,ORD-04509,2024-12-17,Wrong Size,50.95
RET-00446,ORD-04292,2024-12-19,Changed Mind,7.12
RET-00447,ORD-01139,2024-05-16,Defective Item,114.95
RET-00448,ORD-00985,2024-04-29,Changed Mind,69.98
RET-00449,ORD-00386,2024-03-01,Wrong Size,47.99
RET-00450,ORD-02823,2024-10-07,Wrong Size,63.0
